Place Name,Year,Index (SA),Average CPI
United States,1991,100.66083333333334,137.9
United States,1992,103.18,142.0
United States,1993,105.66916666666667,145.8
United States,1994,109.2,149.7
United States,1995,112.01583333333333,153.7
United States,1996,115.31666666666666,158.6
United States,1997,118.60416666666667,161.6
United States,1998,124.32916666666667,164.0
United States,1999,131.9125,168.3
United States,2000,140.74,174.1
United States,2001,150.48,178.3
United States,2002,161.085,181.3
United States,2003,173.41916666666668,185.2
United States,2004,189.7458333333333,191.0
United States,2005,209.51333333333332,199.2
United States,2006,221.73166666666668,203.9
United States,2007,221.56000000000003,210.177
United States,2008,203.54666666666665,219.964
United States,2009,191.5975,216.33
United States,2010,186.14833333333334,219.179
United States,2011,178.30416666666667,226.889
United States,2012,183.23000000000002,231.407
United States,2013,195.965,234.149
United States,2014,205.61666666666667,238.343
United States,2015,216.28,238.654
United States,2016,228.56500000000003,241.729
United States,2017,242.75083333333336,246.819
United States,2018,257.83750000000003,252.885
United States,2019,271.0416666666667,257.346
United States,2020,292.43833333333333,260.474
United States,2021,341.54833333333335,278.802
United States,2022,389.4945454545454,298.012
